id;code;subcode;phrase
54;socialization;social_asignation;"""La discordancia entre mi género autopercibido y mi cuerpo me generaba angustia."""
55;socialization;social_asignation;"""No soy el sexo que la sociedad me impuso al nacer."""
56;socialization;social_asignation;"""La percepción que los demás tienen de mí no coincide con mi identidad."""
57;socialization;social_asignation;"""Hay una diferencia real entre cómo me ven y cómo me autopercibo."""
58;socialization;social_asignation;"""La disforia surge cuando tu cuerpo y tu identidad no están en concordancia."""
59;socialization;social_asignation;"""l sistema insiste en clasificar según genitales, pero eso no define quién soy."""
60;socialization;social_asignation;"""El género que me impusieron fue incorrecto desde el principio."""
61;socialization;social_recognition;"""Lo único que pido es ser reconocida como lo que soy."""
62;socialization;social_recognition;"""La lucha es por el derecho a ser visto como una persona trans."""
63;socialization;social_recognition;"""La validación de mi identidad en los documentos oficiales fue liberadora."""
64;socialization;social_recognition;"""Quiero que me llamen por el nombre que representa mi verdadera experiencia."""
65;socialization;social_recognition;"""Ser reconocida socialmente es tan importante como el cambio físico."""
66;socialization;social_recognition;"""El estado debería reconocer a las personas transgénero."""
67;socialization;social_recognition;"""La identidad de cada persona debe ser respetada por la sociedad."""
68;socialization;social_recognition;"""No se trata solo de aceptación, sino de reconocimiento real."""
69;socialization;social_recognition;"""La validación legal es solo un paso en la visibilidad"""
70;socialization;social_recognition;"""Reconocer nuestra identidad es garantizar nuestros derechos."""
71;socialization;social_construction;"""El género no es natural, es un constructo social."""
72;socialization;social_construction;"""La transexualidad cuestiona los roles de género."""
73;socialization;social_construction;"""Los roles de género son una constructo social"""
74;socialization;social_construction;"""La hegemonía cisgénero nos educa a ver el mundo bajo una lógica binaria."""
75;socialization;social_construction;"""El cuerpo no determina el género; la sociedad sí."""
76;socialization;social_construction;"""La identidad de género es una imposición social."""
77;socialization;social_construction;"""El género no es biológico es social."""
78;socialization;social_construction;"""La sociedad se ha construido bajo categorías binarias. """
79;socialization;social_construction;"""Las instituciones  refuerzan y reproducen los roles de género."""
80;socialization;social_construction;"""No se nace con un género predefinido;  se construye socialmente."""
81;criticism;acritic;"""La transición de género es un proceso personal."""
82;criticism;acritic;"""Cada persona debería poder decidir cuando transicionar."""
83;criticism;acritic;"""Es fundamental respetar la identidad de género de cada persona."""
84;criticism;acritic;"""El reconocimiento de la identidad de género es un derecho individual."""
85;criticism;acritic;"""La identidad de género es una decisión personal."""
86;criticism;acritic;"""La experiencia trans es única para cada individuo."""
87;criticism;acritic;"""Cada persona decide como quiere vivir y expresar su género."""
88;criticism;acritic;"""Cada quien vive el género como quiere. """
89;criticism;acritic;"""La identidad de género se vive y se experimenta de forma subjetiva."""
90;criticism;acritic;"""Cada individuo define la forma de expresar su propio género."""
91;criticism;stigma;"""Las personas transexuales siguen siendo una minoría invisibilizada."""
92;criticism;stigma;"""Quienes no encajan en lo binario siguen siendo estigmatizados."""
93;criticism;stigma;"""Sufren exclusión y falta de oportunidades por ser travestis. """
94;criticism;stigma;"""Visibilizar su identidad es importante para reducir la estigmatización."""
95;criticism;stigma;"""Ser parte de una minoría significa vivir con miedo al rechazo."""
96;criticism;stigma;"""Se enfrentan al estigma en la familia, la escuela y el trabajo."""
97;criticism;stigma;"""La inclusión debe ser parte de las políticas públicas."""
98;criticism;stigma;"""Hay que dejar de excluir. Hay que crear más espacios seguros."""
99;criticism;stigma;"""Aún hay mucha precariedad en la vida de la comunidad trangénero."""
100;criticism;stigma;"""El estigma no se ve, pero marca profundamente sus vidas."""
101;criticism;inequality;"""Las personas trans enfrentan desigualdad sistemática en el acceso a la salud."""
102;criticism;inequality;"""Ser trans implica vivir expuesto a múltiples formas de violencia."""
103;criticism;inequality;"""La discriminación estructural impide que accedan a oportunidades."""
104;criticism;inequality;"""Las mujeres trans siguen siendo violentadas en el espacio público."""
105;criticism;inequality;"""Las desigualdades que enfrentan son producto de una estructura que las margina."""
106;criticism;inequality;"""El transviolentómetro refleja las agresiones normalizadas hacia esta población."""
107;criticism;inequality;"""No basta con aceptar; hay que erradicar la discriminación institucional."""
108;criticism;inequality;"""La desigualdad salarial y la informalidad laboral son consecuencias fallas estructurales"""
109;criticism;inequality;"""Las personas trans no tienen las mismas oportunidades."""
110;criticism;inequality;"""Son discriminadas por su identidad de género."""
111;criticism;critic;"""La cisnormatividad impone una visión única de los cuerpos válidos."""
112;criticism;critic;"""La estructura heteropatriarcal oprime a las identidades diversas."""
113;criticism;critic;"""El transfeminicidio es una expresión de los discursos de odio."""
114;criticism;critic;"""El machismo cisheteropatriarcal es la raíz de la violencia"""
115;criticism;critic;"""Cuestionar los roles de género es cuestionar la violencia política de género."""
116;criticism;critic;"""Vivimos en una sociedad transfóbica que normaliza el odio."""
117;criticism;critic;"""El racismo y la transfobia son formas opresión."""
118;criticism;critic;"""El sistema heteropatriarcal es transfóbico."""
119;criticism;critic;"""La deconstrucción del privilegio cisgénero es crucial para erradicar los transfeminicidios. """
120;criticism;critic;"""Deconstruir el binarismo es fundamental para erradicar la violencia."""
121;relation;feminism;"""Las mujeres trans son mujeres. """
122;relation;feminism;"""El movimiento trans es un movimiento feminista. """
123;relation;feminism;"""El feminismo debe incluir a todas las mujeres, incluso las trans."""
124;relation;feminism;"""Algunas feministas radicales (TERF) no reconocen a las mujeres trans como mujeres."""
125;relation;feminism;"""La lucha trans y la lucha feminista comparten la resistencia contra el patriarcado."""
126;relation;feminism;"""Las tensiones entre mujeres cis y mujeres trans han generado debates dentro del feminismo."""
127;relation;feminism;"""El feminismo debe ser transfeminismo."""
128;relation;feminism;"""El  feminismo no puede ignorar a las mujeres trans."""
129;relation;feminism;"""Ser trans y ser feminista no es contradictorio."""
130;relation;feminism;"""Las personas trans fueron excluídas de la marcha feminista."""
131;relation;vih;"""El acceso a tratamiento antirretroviral es limitado para las personas trans con VIH."""
132;relation;vih;"""Ser ceropositiva y transgénero implica una doble discriminación."""
133;relation;vih;"""Las personas trans son una población en riesgo de transmisión del VIH."""
134;relation;vih;"""La falta de acceso a tratamiento antirretroviral limita la calidad de vida."""
135;relation;vih;"""Las personas trans ceropositivas experimentan discriminación."""
136;relation;vih;"""El término ""sidoso"" sigue siendo utilizado contra quien vive con VIH."""
137;relation;vih;"""La detección temprana de VIH/SIDA ofrece oportunidades. """
138;relation;vih;"""La transexualidad aún es asociadas al SIDA"""
139;relation;vih;"""El movimiento trans nación tras la epidemia del VIH/SIDA."""
140;relation;vih;"""La transmisión sexual del VIH en frecuente en poblaciones trans."""
141;relation;sex_work;"""Ser trans y trabajadora sexual implica enfrentar doble discriminación."""
142;relation;sex_work;"""Muchas personas trans tiene como única fuente de ingreso el trabajo sexual."""
143;relation;sex_work;"""Denunciaron abusos policiales durante operativos contra la prostitución."""
144;relation;sex_work;"""El movimiento trans exige derechos laborales para trabajadoras sexuales trans."""
145;relation;sex_work;"""El movmiento trans busca la dignificación del trabajo sexual. """
146;relation;sex_work;"""El movimiento transgénero apoya la despenalización de la prostitución"""
147;relation;sex_work;"""Criminalizar la prostitución afecta a personas trans que se dedican a ella. """
148;relation;sex_work;"""Trabajadoras sexuales y activistas trans se manifestaron."""
149;relation;sex_work;"""Transexuales y sexoservidoras luchan por la libertad sexual. """
150;relation;sex_work;"""Muchas personas trans recurren al sexoservicio. """
151;relation;jail;"""Las mujeres trans son ubicadas en reclusorios varoniles. """
152;relation;jail;"""Las personas trans sufren más violencia en las cárceles. """
153;relation;jail;"""En las cárceles, las personas transgénero sufren discriminación. """
154;relation;jail;"""Las transexuales encarceladas no tienen acceso a tratamiento hormonal. """
155;relation;jail;"""Mujeres trans son violadas en reclusorios varoniles. """
156;relation;jail;"""Travestis sufren violencia en centro penitenciarios. """
157;relation;jail;"""Sistema penitenciario obstaculiza cambio de identidad de género. """
158;relation;jail;"""Las personas transgénero son procesadas penalmente como personas cis."""
159;relation;jail;"""Brindaron asesoría legal a 50 chicas trans privadas de su libertad."""
160;relation;jail;"""Apoyaron a personas trans del Centro Feminil de Reincersión Social. """
161;relation;inmigration;"""En las caravanas, muchas mujeres trans denunciaron agresiones."""
162;relation;inmigration;"""Las personas transgénero migrantes están doblemente expuestas a violaciones de derechos humanos."""
163;relation;inmigration;"""En los albergues, las mujeres trans migrantes suelen ser segregadas."""
164;relation;inmigration;"""Migrantes trans relatan haber sido violentadas por autoridades migratorias."""
165;relation;inmigration;"""Las personas transgénero sin documentación no pueden migrar. """
166;relation;inmigration;"""La población transexual migrante enfrenta mayores retos. """
167;relation;inmigration;"""Las personas  trans migrantes experimentan numerosas dificultades para regularizar su situación migratoria. """
168;relation;inmigration;"""Autoridades deben garantizar el derecho al cambio registral del género para las personas trans que migran."""
169;relation;inmigration;"""Las personas trans que migran se exponen a explotación sexual."""
170;relation;inmigration;"""Las personas trans-migrantes atraviezan muchas transiciones."""
171;relation;indigenous;"""En la cultura zapoteca, las muxes son reconocidas como parte ancestral del tejido social."""
172;relation;indigenous;"""Ser muxe no es trasvestimo, es una identidad sagrada."""
173;relation;indigenous;"""Para muchas comunidad indígenas existe un tercer género."""
174;relation;indigenous;"""Ser indígena y transgénero implica resistir una doble invisibilización."""
175;relation;indigenous;"""Las identidades trans en pueblos originarios retan la imposición binaria del género."""
176;relation;indigenous;"""El binarismo es ajeno a muchas cosmovisiones originarias del sur de México."""
177;relation;indigenous;"""Indígenas trans son desplazadas. """
178;relation;indigenous;"""Las muxes, son una identidad transgénero milenaria. """
179;relation;indigenous;"""Ser indígena y mujer trans en una comunidad maya no es fácil. """
180;relation;indigenous;"""La activista trans indígena maya fue galardonada como Activista del Año. """
181;relation;lgbt;"""Las personas trans marcharon junto al colectivo LGBT en defensa de la diversidad sexual."""
182;relation;lgbt;"""Dentro del movimiento LGBTTTI, las demandas trans suelen ser las más invisibilizadas."""
183;relation;lgbt;"""En la bandera del orgullo LGBT, la franja azul representa a las identidades trans."""
184;relation;lgbt;"""Transexuales crearon su propio contingente en la marcha del orgullo gay. """
185;relation;lgbt;"""El movimiento de la diversidad sexual tomó las calles. """
186;relation;lgbt;"""La lucha por los derechos trans es parte integral del movimiento LGBT+ a nivel global."""
187;relation;lgbt;"""Es crucial que las alianzas LGBT no invisibilicen a las personas transexuales."""
188;relation;lgbt;"""La unidad del colectivo LGBTQ+ es fundamental para avanzar en derechos."""
189;relation;lgbt;"""Personas transgénero participaron en Pride de la Ciudad de México. """
190;relation;lgbt;"""Activistas trans han denunciado que el movimiento LGBTTTI prioriza la visibilidad gay masculina."""
191;relation;queer;"""Aunque luchan juntes, no es lo mismo ser trans binario que identificarse como no binarie."""
192;relation;queer;"""Algunos colectivos trans sienten que las demandas no binarias desdibujan la lucha por el reconocimiento jurídico de género."""
193;relation;queer;"""La categoría trans ha sido históricamente binaria, mientras que lo queer propone una ruptura total del sistema sexo-género."""
194;relation;queer;"""Las personas agénero no siempre se identifican como trans."""
195;relation;queer;"""Se debate si las identidades queer deben ser representadas bajo el paraguas ""trans""."""
196;relation;queer;"""El movimiento trans se ha expandido para incluir a personas no binarias y queer."""
197;relation;queer;"""Las personas trans binarias y no binarias coexisten en el mismo activismo."""
198;relation;queer;"""La lucha por el reconocmiento de identidades no binarias ha enriquecido al colectivo trans."""
199;relation;queer;"""El colectivo trans ha incluido las voces de personas no binarias. """
200;relation;queer;"""Colectivo de personas no binarias marchó con el contingente trans. """
201;framing;health;"""La clínica Condesa lidera la detección y prevención de VIH-SIDA"""
202;framing;health;"""La vacunación contra el VPH es crucial para la salud de los pacientes trans."""
203;framing;health;"""El tratamiento antirretroviral ha transformado la vida de las personas con VIH."""
204;framing;health;"""Programa de salud busca mejorar el diagnóstico de enfermedades de transmisión sexual."""
205;framing;health;"""Personas trans se exponen a adquisición de tratamiento hormonal ilegal."""
206;framing;health;"""Personas transgénero son vacunadas contra el virus del papiloma humano."""
207;framing;health;"""El suicidio de personas no binarias esta asociado a la drepresión."""
208;framing;health;"""CENSIDA contratación de especialistas y trabajadores de la salud. """
209;framing;health;"""Asociación ofrece PrEP para prevenir la transmisión del VIH."""
210;framing;health;"""Reparten condones para reducir contagio de enfermedades como gonorrea y sífilis. """
211;framing;documentation;"""Personas trans buscan rectificar su identidad en el registro civil."""
212;framing;documentation;"""Los trámites para obtener un documento de identidad acorde son complejos."""
213;framing;documentation;"""La credencial de elector debe reflejar la identidad de género real de las personas trans."""
214;framing;documentation;"""Gobierno emite pasaporte para personas no binarias"""
215;framing;documentation;"""La corte ha emitido una resolución sobre el cambio de género en el acta de nacimiento."""
216;framing;documentation;"""La reasignación de sexo en el documentos de identidad es necesaria."""
217;framing;documentation;"""Es fundamental garantizar la identidad jurídica de las personas transgénero."""
218;framing;documentation;"""Un nuevo decreto simplifica el reconocimiento de la identidad transexuales."""
219;framing;documentation;"""Asociación ofrece apoyo para los trámites de cambio de sexo."""
220;framing;documentation;"""La ley garantiza la modificación del sexo-genérica en documentos."""
221;framing;congress;"""El Congreso debate reforma sobre los derechos de las personas trans."""
222;framing;congress;"""La bancada del partido presentó iniciativa en favor de la población LGBTTTI."""
223;framing;congress;"""Se espera votación en el pleno para aprobar la ley trans."""
224;framing;congress;"""Comisiones discuten un dictamen para reducir discriminación a personas trans."""
225;framing;congress;"""Diputado se opone a la reforma de identidad de género."""
226;framing;congress;"""La asamblea del pleno prohibió terapias de conversión."""
227;framing;congress;"""El decreto constitucional reconoce la identidad de género."""
228;framing;congress;"""Diputada presenta indicativa para tipificar el transfeminicidio. """
229;framing;congress;"""Por mayoría parlamentaria se aprueba el matrimonio igualitario. """
230;framing;congress;"""Se discute una iniciativa para reconocer identidades no binarias."""
231;framing;violence;"""La fiscalía investiga el asesinato de persona trans como crimen de odio."""
232;framing;violence;"""Un nuevo transfeminicidio tuvo lugar en México."""
233;framing;violence;"""Exigen justicia por el asesinato violento de Samantha, una candidata trans."""
234;framing;violence;"""Abren una carpeta de investigación por el homicidio transexuales."""
235;framing;violence;"""La fiscalía mostró avances en las investigaciones de asesinato trans."""
236;framing;violence;"""El cadáver de una víctima trans fue localizado en un baldío con signos de tortura."""
237;framing;violence;"""Giran  orden de aprehensión contra el imputado por el asesinato de Paola."""
238;framing;violence;"""Balazos, golpes y heridas punzocortantes fueron la causa de la muerte de la víctima."""
239;framing;violence;"""Asesinada  fue encontrada cerca de su domicilio, el incidente es investigado."""
240;framing;violence;"""Es investigada por la fiscalía como presunto asesino. """
241;framing;performance;"""La Miss Universo transgénero desafía los estereotipos de belleza en la pasarela."""
242;framing;performance;"""La exposición de fotografía de artistas trans celebra la estética queer."""
243;framing;performance;"""El cine y la pornografía homoerótica cuestionan desde la pantalla."""
244;framing;performance;"""Un cantante travesti utiliza el teatro y el video como formas de resistencia cultural."""
245;framing;performance;"""La Universidad acoge una exposición sobre la estética travesti como forma de arte."""
246;framing;performance;"""Un cómic aborda el chemsex y la prostitución desde una perspectiva queer, sin tabúes."""
247;framing;performance;"""La cantante utiliza su obra para visibilizar la identidad femenina transgénero."""
248;framing;performance;"""Drag Race México rompe con la percepción binaria tradicional."""
249;framing;performance;"""Drag Queen celebran con su belleza la diversidad y la libertad de ser."""
250;framing;performance;"""Productor contacta a Wendy Guevara para promover su carrera."""
251;framing;protest;"""La Marcha del Orgullo LGBT reunió a miles de asistentes en el Zócalo de la capitalino."""
252;framing;protest;"""El contingente del Orgullo Gay desfiló por el Paseo de la Reforma este sábado."""
253;framing;protest;"""La movilización por la visibilidad LGBT llenó de color y banderas el Ángel de la Independencia."""
254;framing;protest;"""La edición de este año del Pride fue la más grande en la historia de la ciudad."""
255;framing;protest;"""La movilización es necesaria para fomentar la inclusión y la visibilidad."""
256;framing;protest;"""La marcha  es un acto de ocupación del espacio público y de reivindicación."""
257;framing;protest;"""Colectivo LGBT protesta frente a palacio nacional. """
258;framing;protest;"""Activistas trans inciaron manifestación. """
259;framing;protest;"""Utilizaron la bandera arcoíris para celebrar su identidad y exigir justicia."""
260;framing;protest;"""El colectivo LGBTTTI celebró el Mes del Orgullo con diversas actividades públicas."""
